username	lastname	firstname	party	constituency	followers	friends	tweets
1garygannon	Gannon	Gary	Social Democrats	Dublin Central	11162	2457	18597
adoyletd	Doyle	Andrew	Fine Gael	Wicklow	7900	1147	4437
aengusomaolain	Ó Maolain	Aengus	Social Democrats	Dublin West	1927	916	7928
aislingd_cllr	Dolan	Aisling	Fine Gael	Roscommon Galway	235	489	172
alan_dillon	Dillon	Alan	Fine Gael	Mayo	13784	1774	1298
alanfarrell	Farrell	Alan	Fine Gael	Dublin Fingal	7071	238	29568
alankellylabour	Kelly	Alan	Labour	Tipperary	13155	1848	12020
annerabbitte	Rabbitte	Anne	Fianna Fail	Galway East	5096	5484	16380
anthonylawlorfg	Lawlor	Anthony	Fine Gael	Kildare North	4190	420	2417
aodhanoriordain	Ó Ríordain	Aodhan	Labour	Dublin Bay North	32406	3144	
aosnodaigh	Ó Snodaigh	Aengus	Sinn Fein	Dublin South Central	7392	1094	4695
ballivor05	McElhinney	Tracy	Labour	Meath West	221	266	222
barrymward	Ward	Barry	Fianna Fail	Dun Laoghaire	3518	1258	41304
bernarddurkantd	Durkan	Bernard	Fine Gael	Kildare North	5714	799	1434
bgriffintd	Griffin	Brendan	Fine Gael	Kerry	7244	965	2838
billy_timmins	Timmins	Billy	Fine Gael	Wicklow	3830	719	6689
blaithinleitrim	Gallagher	Blaithín	Green Party	Sligo Leitrim	204	167	
bobby_aylward	Aylward	Bobby	Fianna Fail	Carlow Kilkenny	1990	259	534
brassiljohntd	Brassil	John	Fianna Fail	Kerry	1435	1843	1124
breathnachlouth	Breathnach	Declan	Fianna Fail	Louth	2159	2090	5574
brendanhowlin	Howlin	Brendan	Labour	Wexford	5496	1051	3590
brendansmithtd	Smith	Brendan	Fianna Fail	Cavan Monaghan	3110	791	6562
brianleddin	Leddin	Brian	Green Party	Limerick City	2099	1401	5120
brianstanleytd	Stanley	Brian	Sinn Fein	Laois Offaly	2777	717	940
brienpaul	O’Brien	Paul	Labour	Wicklow	423	934	205
brophytalks	Brophy	Colm	Fine Gael	Dublin South West	1823	525	410
browne4tipp	Browne	Martin	Sinn Fein	Tipperary	214	263	129
buddam13	Mangan	Alan	Labour	Longford Westmeath	1174	576	
campaign4carrig	Carrigy	Micheal	Fine Gael	Longford Westmeath	164	86	905
campaign4kehoe	Kehoe	Paul	Fine Gael	Wexford	6346	2537	3917
campaignforkate	O'Connell	Kate	Fine Gael	Dublin Bay South	11961	3264	3957
cardagh	Ardagh	Catherine	Fianna Fail	Dublin South Central	3131	2454	6658
carlyebailey_	Bailey	Carly	Social Democrats	Dublin South West	2915	2120	9157
caroline1conroy	Conroy	Caroline	Green Party	Dublin North West	943	699	1696
carrolljennifer	Carroll MacNeill	Jennifer	Fine Gael	Dun Laoghaire	1859	2084	986
cathmartingreen	Martin	Catherine	Green Party	Dublin Rathdown	8794	3419	6183
cathmurphytd	Murphy	Catherine	Social Democrats	Kildare North	19419	1817	16506
cbyrnetd	Byrne	Catherine	Fine Gael	Dublin South Central	1729	441	610
cccshanep	O'Reilly	T.P.	Fianna Fail	Cavan Monaghan	765	579	6229
charlieflanagan	Flanagan	Charlie	Fine Gael	Laois Offaly	24825	599	12977
chrisandrews64	Andrews	Chris	Sinn Fein	Dublin Bay South	4449	2395	20669
chrisosullmcc	O'Sullivan	Christopher	Fianna Fail	Cork South West	360	260	805
ciaranahern	Ahern	Ciaran	Labour	Dublin South West	1554	1211	3167
ciarancannon	Cannon	Ciaran	Fine Gael	Galway East	12391	4124	28251
ciaranmcarthy	McCarthy	Ciaran	Social Democrats	Cork North West	735	1134	1450
ciaraskennedy	Kennedy	Ciara	Labour	Cork South Central	457	350	478
clairekerrane	Kerrane	Claire	Sinn Fein	Roscommon Galway	1614	635	5102
cleomurphy64	Murphy	Cleo	Green Party	Kerry	678	539	2553
cllrcathalcrowe	Crowe	Cathal	Fianna Fail	Clare	1258	1139	1150
